corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-fra-ext1	FRA40131	FRA40131	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 2	NA	NA	U	viaf:66473859	1849	1849	2009	source	NA	NA	fra	92617	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40472	FRA40472	NA		NA	NA	U	viaf:46766944	1849	1849	NA	NA	NA	NA	fra	59454	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40724	FRA40724	NA	Les mille et un fantômes	NA	NA	U	viaf:51688902	1849	1849	NA	NA	NA	NA	fra	53147	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40007	FRA40007	NA	La femme au collier de velours	NA	NA	U	viaf:51688902	1850	1850	NA	NA	NA	NA	fra	59772	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40609	FRA40609	NA		NA	NA	U	viaf:17222447	1850	1850	NA	NA	NA	NA	fra	75779	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40133	FRA40133	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 4	NA	NA	U	viaf:66473859	1850	1850	2010	source	NA	NA	fra	144374	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40132	FRA40132	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 3	NA	NA	U	viaf:66473859	1850	1850	2009	source	NA	NA	fra	128709	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40135	FRA40135	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 7	NA	NA	U	viaf:author	1851	1851	2009	source	NA	NA	fra	173113	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40134	FRA40134	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 6	NA	NA	U	viaf:66473859	1851	1851	2010	source	NA	NA	fra	66453	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40462	FRA40462	NA		NA	NA	U	viaf:46766944	1851	1851	NA	NA	NA	NA	fra	50575	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40623	FRA40623	NA	La Reine des Épées (Forêt Noire)	NA	NA	U	viaf:17222447	1852	1852	NA	NA	NA	NA	fra	91067	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40002	FRA40002	NA	L'ensorcelée	NA	NA	U	viaf:49221211	1852	1852	NA	NA	NA	NA	fra	73079	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40011	FRA40011	NA	La femme immortelle	NA	NA	U	viaf:17228199	1852	1852	NA	NA	NA	NA	fra	91378	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40010	FRA40010	NA	La baronne trépassée	NA	NA	U	viaf:17228199	1852	1852	NA	NA	NA	NA	fra	63872	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40449	FRA40449	NA		NA	NA	U	viaf:46766944	1853	1853	NA	NA	NA	NA	fra	123152	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40137	FRA40137	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 9	NA	NA	U	viaf:66473859	1853	1853	2011	source	NA	NA	fra	109001	NA	NA	long	unspecified	T1
