filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA41167	FRA41167	NA	Un drame dans l'inde (Le dernier mot de Rocambole, 3)	NA	NA	viaf:17228199	NA	1867	NA	fra	100802	NA	NA	U	long	unspecified	T2
FRA40637	FRA40637	NA		NA	NA	viaf:17222447	NA	1867	NA	fra	142939	NA	NA	U	long	unspecified	T2
FRA40026	FRA40026	NA	Le blocus	NA	NA	viaf:31995972	NA	1867	NA	fra	67245	NA	NA	U	medium	unspecified	T2
FRA40020	FRA40020	NA	Le petit chose	NA	NA	viaf:4928621	NA	1867	NA	fra	86121	NA	NA	U	medium	unspecified	T2
FRA41173	FRA41173	NA	Les misères de Londres, tome 2: L'enfant perdu	NA	NA	viaf:17228199	NA	1868	NA	fra	69860	NA	NA	U	medium	unspecified	T2
FRA41028	FRA41028	NA	Les esclaves de Paris, tome 1	NA	NA	NA	NA	1868	NA	fra	146666	NA	NA	U	long	unspecified	T2
FRA41172	FRA41172	NA	Les misères de Londres, tome 1: Prologue - La nourrisseuse d'enfants	NA	NA	viaf:17228199	NA	1868	NA	fra	53587	NA	NA	U	medium	unspecified	T2
FRA40012	FRA40012	NA	La fée d’Auteuil	NA	NA	viaf:17228199	NA	1868	NA	fra	61344	NA	NA	U	medium	unspecified	T2
FRA03103_Ponson	FRA03103	Ponson du Terrail, Pierre Alexis	La fée d’Auteuil	1829	1871	viaf:17228199	NA	1868	viaf:missing	fra	64938	NA	NA	M	medium	low	T2
FRA40632	FRA40632	NA		NA	NA	viaf:17222447	NA	1868	NA	fra	127084	NA	NA	U	long	unspecified	T2
FRA40374	FRA40374	NA		NA	NA	viaf:31987653	NA	1868	NA	fra	36654	NA	NA	U	short	unspecified	T2
FRA41174	FRA41174	NA	Les misères de Londres, tome 3: La cage aux oiseaux	NA	NA	viaf:17228199	NA	1868	NA	fra	59706	NA	NA	U	medium	unspecified	T2
FRA40305	FRA40305	NA		NA	NA	viaf:9841962	NA	1868	NA	fra	56917	NA	NA	U	medium	unspecified	T2
FRA40605	FRA40605	NA	Le Cavalier Fortune	NA	NA	viaf:17222447	NA	1868	NA	fra	128790	NA	NA	U	long	unspecified	T2
FRA41175	FRA41175	NA	Les misères de Londres, tome 4: Les tribulations de Shoking	NA	NA	viaf:17228199	NA	1868	NA	fra	90930	NA	NA	U	medium	unspecified	T2
FRA40035	FRA40035	NA	Histoire d'un paysan, 1789-1815, IV	NA	NA	viaf:31995972	NA	1869	NA	fra	78464	NA	NA	U	medium	unspecified	T2
FRA40041	FRA40041	NA	L'Éducation sentimentale	NA	NA	viaf:9846192	NA	1869	NA	fra	150492	NA	NA	U	long	unspecified	T2
FRA40376	FRA40376	NA		NA	NA	viaf:31987653	NA	1869	NA	fra	39366	NA	NA	U	short	unspecified	T2
FRA41159	FRA41159	NA	Monsieur Lecoq, 2: L'Honneur du nom	NA	NA	NA	NA	1869	NA	fra	162558	NA	NA	U	long	unspecified	T2
FRA40300	FRA40300	NA		NA	NA	viaf:9841962	NA	1869	NA	fra	72186	NA	NA	U	medium	unspecified	T2
FRA40612	FRA40612	NA		NA	NA	viaf:17222447	NA	1869	NA	fra	76375	NA	NA	U	medium	unspecified	T2
FRA03901_Stolz	FRA03901	Stolz, Madame de [Fanny de Bégon]	La Maison roulante	1820	1898	viaf:19850120 wikidata:Q3275360	Bibliothèque électronique du Québec (BEQ)	1869	viaf:309282062	fr	52092	NA	heterodiegetic	F	medium	low	T2
FRA40034	FRA40034	NA	Histoire d'un paysan, 1789-1815, III	NA	NA	viaf:31995972	NA	1869	NA	fra	89470	NA	NA	U	medium	unspecified	T2
FRA40082	FRA40082	NA	Autour de la lune	NA	NA	viaf:76323989	NA	1869	NA	fra	57710	NA	NA	U	medium	unspecified	T2
FRA40032	FRA40032	NA	Histoire d'un paysan, 1789-1815, I	NA	NA	viaf:31995972	NA	1869	NA	fra	79934	NA	NA	U	medium	unspecified	T2
FRA40409	FRA40409	NA		NA	NA	viaf:49228546	NA	1869	NA	fra	65835	NA	NA	U	medium	unspecified	T2
FRA40033	FRA40033	NA	Histoire d'un paysan, 1789-1815, II	NA	NA	viaf:31995972	NA	1869	NA	fra	78096	NA	NA	U	medium	unspecified	T2
FRA40476	FRA40476	NA		NA	NA	viaf:79158042	NA	1869	NA	fra	48410	NA	NA	U	short	unspecified	T2
FRA41168	FRA41168	NA	Rocambole en prison	NA	NA	viaf:17228199	NA	1869	NA	fra	119745	NA	NA	U	long	unspecified	T2
FRA40631	FRA40631	NA		NA	NA	viaf:17222447	NA	1869	NA	fra	90430	NA	NA	U	medium	unspecified	T2
FRA41158	FRA41158	NA	Monsieur Lecoq, 1 : L'enquête	NA	NA	viaf:100177491	NA	1869	NA	fra	95792	NA	NA	U	medium	unspecified	T2
FRA41156	FRA41156	NA	La vie infernale, 1 : Pascal et Marguerite	NA	NA	viaf:100177491	NA	1870	NA	fra	111134	NA	NA	U	long	unspecified	T2
FRA41163	FRA41163	NA	La corde du pendu (Rocambole)	NA	NA	viaf:17228199	NA	1870	NA	fra	126214	NA	NA	U	long	unspecified	T2
FRA41164	FRA41164	NA	La corde du pendu (Rocambole), tome 2: L'homme gris	NA	NA	viaf:17228199	NA	1870	NA	fra	59745	NA	NA	U	medium	unspecified	T2
FRA40095	FRA40095	NA	La fortune des Rougon	NA	NA	viaf:32004502	NA	1870	NA	fra	120741	NA	NA	U	long	unspecified	T2
FRA40420	FRA40420	NA		NA	NA	viaf:49228546	NA	1870	NA	fra	43347	NA	NA	U	short	unspecified	T2
FRA41157	FRA41157	NA	La vie infernale, 2 : Lia d'Argelès	NA	NA	viaf:100177491	NA	1870	NA	fra	118177	NA	NA	U	long	unspecified	T2
